"NULL_PREDICTORxcolumn","NULL_PREDICTORxis_factor_by_mse","NULL_PREDICTORxis_factor_by_prop","NULL_PREDICTORxpval_test_mse_diff","NULL_PREDICTORxpval_test_prop_diff","NULL_PREDICTORxformula_null","NULL_PREDICTORxformula_fit","NULL_PREDICTORxtest_mse_null","NULL_PREDICTORxtest_mse_fit","NULL_PREDICTORxtest_pbest_null","NULL_PREDICTORxtest_pbest_fit","adj_rsq_null","adj_rsq_fit","n_slopes_null","n_slopes_fit","adj_n_slopes_null","adj_n_slopes_fit","df_null","df_fit","df_ratio_null","df_ratio_fit","alias_null","alias_fit","na_null","na_fit","mean_pval_null","mean_pval_fit","median_pval_null","median_pval_fit","max_pval_null","max_pval_fit","sd_pval_null","sd_pval_fit","aic_null_to_fit_diff","anova_p","pval_param","adj_rsq_param","predictor_is_null"
"21","Type",TRUE,FALSE,3.50464279244989e-05,0.743654619869038,"NUMBERxuptake~F_AS_NxTreatment+FACTORxType","NUMBERxuptake~F_AS_NxTreatment+FACTORxType+F_AS_NxTreatment:FACTORxType",73.4794105757787,72.2655826530613,0.547619047619048,0.452380952380952,0.525893836993052,0.553990553178593,3,4,3,4,39,38,13,9.5,0,0,0,0,0.0164815669298924,0.0198076485427843,7.6579575434907e-07,0.00424181626632298,0.0494439349460996,0.0707469586307616,0.0494439349460996,0.0707469586307616,1.65679814916035,0.0707469586307616,1,0,FALSE
"22","conc",TRUE,FALSE,0.017573724763282,0.991811345829253,"NUMBERxuptake~F_AS_Nxconc","NUMBERxuptake~FACTORxconc",108.762420620741,95.8492179745708,0.642857142857143,0.357142857142857,0.400498710247278,0.523372575083604,2,7,2,7,40,35,20,5,0,0,0,0,2.08509501219399e-06,0.018642221481949,2.08509501219399e-06,6.12060648194862e-05,4.13881666058155e-06,0.12918157138076,4.13881666058155e-06,0.12918157138076,5.24156533019777,0.021397649769056,4.13881666058155e-06,0.744723263567161,TRUE
"23","Plant",FALSE,FALSE,1,1,"NUMBERxuptake~F_AS_NxPlant","NUMBERxuptake~FACTORxPlant",88.8435736772487,88.8435736772487,1,0,0.453670092978862,0.453670092978862,12,12,12,12,30,30,2.5,2.5,0,0,0,0,0.177006678283637,0.177006678283637,0.0531228616110074,0.0531228616110074,0.666148629827337,0.666148629827337,0.666148629827337,0.666148629827337,0,0,0.363401791140934,0.934873213073386,TRUE
"24","Type",FALSE,FALSE,1,1,"NUMBERxuptake~F_AS_NxType","NUMBERxuptake~FACTORxType",93.2303482880755,93.2303482880755,1,0,0.489005148160207,0.489005148160207,2,2,2,2,40,40,20,20,0,0,0,0,7.78291075270165e-08,7.78291075270165e-08,7.78291075270165e-08,7.78291075270165e-08,1.55657336289132e-07,1.55657336289132e-07,1.55657336289132e-07,1.55657336289132e-07,0,0,1,0,TRUE
"25","Treatment",FALSE,FALSE,1,1,"NUMBERxuptake~F_AS_NxTreatment","NUMBERxuptake~FACTORxTreatment",101.523995535714,101.523995535714,1,0,0.128265921769252,0.128265921769252,2,2,2,2,40,40,20,20,0,0,0,0,0.00570871335412925,0.00570871335412925,0.00570871335412925,0.00570871335412925,0.0114174267080161,0.0114174267080161,0.0114174267080161,0.0114174267080161,0,0,1,0,TRUE
"26","conc",FALSE,FALSE,0.313926041607806,0.5,"NUMBERxdensity~F_AS_NxRun+FACTORxconc","NUMBERxdensity~F_AS_NxRun+FACTORxconc+F_AS_NxRun:FACTORxconc",0.0030576680879446,0.00236887110535027,0.5,0.5,0.995257938641097,0.995588724961745,9,16,9,16,79,72,8.77777777777778,4.5,0,0,0,0,0.0173091890130784,0.27453947128112,5.88882662061631e-32,0.0966351083756289,0.131459982348222,0.980976826972148,0.131459982348222,0.980976826972148,0.527910185853671,0.0914355925030539,0.131459982348222,0.882678528423888,FALSE
"27","Run",FALSE,FALSE,0.109431310474535,0.225491159634441,"NUMBERxdensity~F_AS_Nxconc+FACTORxRun","NUMBERxdensity~F_AS_Nxconc+FACTORxRun+F_AS_Nxconc:FACTORxRun",0.0648991572427682,0.313688429294751,0.465909090909091,0.534090909090909,0.851241158016553,0.887106874783277,12,22,12,22,76,66,6.33333333333333,3,0,0,0,0,0.542358610513071,0.345561785108425,0.583988134332529,0.176933723314171,0.984783203948561,0.996033132475312,0.984783203948561,0.996033132475312,16.692788545633,0.00119784978561916,4.09745968037655e-34,0.748303511065772,FALSE
"28","Run",FALSE,TRUE,0.415112645016869,0.000262778719136421,"NUMBERxdensity~F_AS_NxRun","NUMBERxdensity~FACTORxRun",0.403543336435614,0.473664398998937,0.363636363636364,0.636363636363636,-0.0115146638933075,-0.0444793512984289,2,11,2,11,86,77,43,7,0,0,0,0,0.461031801855069,0.543550259204987,0.461031801855069,0.549405166432778,0.922063291561443,0.914126369273219,0.922063291561443,0.914126369273219,-11.0944449692086,0.708322326668185,0.922063291561443,0.953558253629825,TRUE
"29","conc",FALSE,FALSE,0.485864269232192,1,"NUMBERxdensity~F_AS_Nxconc","NUMBERxdensity~FACTORxconc",0.0465569725964047,0.00283001465685897,0.886363636363636,0.113636363636364,0.85089839211738,0.995179511469854,2,8,2,8,86,80,43,10,0,0,0,0,5.90059652134199e-17,2.06600673058918e-05,5.90059652134199e-17,3.44383356149768e-32,1.1801193042684e-16,0.000165023824826304,1.1801193042684e-16,0.000165023824826304,296.358458274648,1.08929918758941e-58,1.62573262162881e-37,0.954780849791732,TRUE
"30","MAYBE_FACTORxYearSold",FALSE,FALSE,0.238402631670188,0.895564538040669,"NUMBERxNOT_FACTORxSquareFeet~NUMBERxNOT_FACTORxLotSize+FACTORxMAYBE_FACTORxYearSold","NUMBERxNOT_FACTORxSquareFeet~NUMBERxNOT_FACTORxLotSize+FACTORxMAYBE_FACTORxYearSold+NUMBERxNOT_FACTORxLotSize:FACTORxMAYBE_FACTORxYearSold",442652.190637854,478474.029851512,0.524590163934426,0.475409836065574,0.0340783638763424,0.0274769122631869,12,22,12,22,354,344,29.5,15.6363636363636,0,0,0,0,0.406185583564562,0.507996620107559,0.377432951430183,0.549384789212314,0.874452091855819,0.858795770781596,0.874452091855819,0.858795770781596,-12.0050415234919,0.66771205127481,0.000511080333101481,0.377418552425878,FALSE
